password,last_login,is_superuser,username,first_name,email,is_staff,is_active,date_joined,last_name
Password1,3/21/19 11:00,F,Maggie Clancey,Maggie,Maggie_Clancey@gmail.com,0,1,1/1/19,Clancey
Password1,3/21/19 11:00,F,Dogtime,Dog,Dogtime@gmail.com,0,1,2/1/19,time
Password1,3/21/19 11:00,F,Julia Smith,Julia,Julia_Smith@gmail.com,0,1,2/2/19,Smith
Password1,3/21/19 11:00,F,Mike Clark,Mike,Mike_Clark@gmail.com,0,1,2/3/19,Clark
Password1,3/21/19 11:00,F,Meleva Steiert,Maleva,Meleva_Steiert@gmail.com,0,1,2/4/19,Steiert
Password1,3/21/19 11:00,F,Michael Leaverton,Michael,Michael_Leaverton@yahoo.com,0,1,2/5/19,Leaverton
Password1,3/21/19 11:00,F,Bonnie Brae,Bonnie,Bonnie_Brae@gmail.com,0,1,2/6/19,Brae
Password1,3/21/19 11:00,F,Wailani Sung,Wailani,Wailani_Sung@gmail.com,0,1,2/7/19,Sung
Password1,3/21/19 11:00,F,Kristen Seymour,Kristen,Kristen_Seymour@gmail.com,0,1,2/8/19,Seymour
Password1,3/21/19 11:00,F,Marty Becker,Marty,Marty_Becker@gmail.com,0,1,2/9/19,Becker
